datetime;timestamp_desc;source;source_long;message;parser;display_name;tag
2024-12-05T03:36:53.993410+00:00;Content Modification Time;FILE;File stat;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o666 Number of links: 1;filestat;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
2024-12-05T03:38:37.000000+00:00;Creation Time;FILE;File stat;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o666 Number of links: 1;filestat;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
2024-12-05T03:38:55.358800+00:00;Last Access Time;FILE;File stat;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite Type: file Owner identifier: 0 Group identifier: 0 Mode: 0o666 Number of links: 1;filestat;OS:D:\Penting\ITS\Sem 1\Forensik Digital\plaso\test_data\NoteStore.sqlite;-
